Date,Time,SWR,RSSI,A1,A2,GPS Date,GPS Time,Long,Lat,Course,GPS Speed,GPS Alt,Baro Alt,Vertical Speed,Temp1,Temp2,RPM,Fuel,Cell volts,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Current,Consumption,Vfas,AccelX,AccelY,AccelZ,Rud,Ele,Thr,Ail,S1,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH
2013-12-16,21:44:38.560,0,86,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.63, 0.00,40,-17,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-2,-1017,-2,-23,13,68,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:39.560,1,81,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.63, 0.00,40,-17,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,1,-1,-1017,0,-23,16,68,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:40.570,1,86,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.63, 0.00,40,-17,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-2,-1017,-2,-23,13,67,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:41.590,1,80,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.88, 0.00,41,-17,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-1,-1017,0,-23,14,70,497,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:42.610,1,79,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.57, 0.00,41,-17,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-1,-1017,0,-23,13,70,499,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:43.620,0,82,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.63, 0.00,41,-17,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,-1,-1,-1017,0,-23,13,70,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:44.640,1,80,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.69, 0.00,41,-17,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-2,-1017,-1,-24,14,70,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:45.660,1,81,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.63, 0.00,40,-17,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,-1,-1,-1017,-1,-22,12,70,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:46.670,1,80,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-2.00, 0.00,40,-17,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-1,-1017,0,-23,12,68,497,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:47.690,1,78,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.75, 0.00,39,-17,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-2,-1017,-2,-22,14,68,497,0,-1,-1,-1,-1,-1,-1,-1
